objectid,parentid,title,identifier,subject,dimensions,display_template,format,object_location,image_small,image_thumb,image_alt_text,description,notes,other_objects
object_1900_0,object_1900,DSCN4596.JPG containing object_1900,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4596/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4596/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4596/full/400,/0/default.jpg",image containing object_1900,,,object_1898;object_1899
object_1901,,Chou head,1901,Chou head,H:,compound_object,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4598/full/400,/0/default.jpg",,"Chou head. Chou. Soldier. Military. Flesh face, square open cut clown patch; lips, teeth, tongue. Helmet of ¾ tiger face and mane. Red to orange cut brows above round crossed eyes, red mouth. Cut whiskers, ears, black, grey, ochre stripes down back. Large green pompom. Lacquered.",,
object_1901_0,object_1901,DSCN4598.JPG containing object_1901,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4598/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4598/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4598/full/400,/0/default.jpg",image containing object_1901,,,object_1902;object_1903
object_1901_1,object_1901,DSCN4599.JPG containing object_1901,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4599/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4599/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4599/full/400,/0/default.jpg",image containing object_1901,,,object_1902;object_1903
object_1902,,Chou head,1902,Chou head,H:,compound_object,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4598/full/400,/0/default.jpg",,"Chou head. Chou. Flesh face, cut wrinkles near nose, fish shape eye, closed red lips. Green circlet. Black jaguar-like animal helmet, spots are cut out, ¾ view animal head, red to orange cut brows above round crossed eyes, red mouth. Cut whiskers, ears, repeat grey mane.","See 339, 1903, 1904. Damage: Helmet detached from head.",
object_1902_0,object_1902,DSCN4598.JPG containing object_1902,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4598/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4598/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4598/full/400,/0/default.jpg",image containing object_1902,,,object_1901;object_1903
object_1902_1,object_1902,DSCN4599.JPG containing object_1902,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4599/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4599/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4599/full/400,/0/default.jpg",image containing object_1902,,,object_1901;object_1903
object_1903,,Chou head,1903,Chou head,H:,compound_object,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4598/full/400,/0/default.jpg",,"Chou head. Chou. Black jaguar-like animal hat, cut out spots, ¾ view animal head, similar to tiger. Flesh face, cut wrinkles near nose, triangle eye, eye patch.","See also head 339, helmet 360. Possible bodies 375, 387.",
object_1903_0,object_1903,DSCN4598.JPG containing object_1903,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4598/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4598/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4598/full/400,/0/default.jpg",image containing object_1903,,,object_1901;object_1902
object_1903_1,object_1903,DSCN4599.JPG containing object_1903,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4599/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4599/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4599/full/400,/0/default.jpg",image containing object_1903,,,object_1901;object_1902
object_1904,,Chou head,1904,Chou head,H:,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4600/full/400,/0/default.jpg",,"Chou head. Chou. Flesh face, cut wrinkles near nose, triangle shape eye, closed red lips. Green circlet. Black jaguar-like animal helmet, spots are cut out, ¾ view animal head, red to orange cut brows above round crossed eyes, red mouth. Cut whiskers, ears, repeat grey mane. Note: Helmet attached in two places with carpet thread, or something similar.","See 339, 1902, 1903.",
object_1904_0,object_1904,DSCN4600.JPG containing object_1904,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4600/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4600/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4600/full/400,/0/default.jpg",image containing object_1904,,,object_1905
object_1905,,Jing head,1905,Jing head,H:,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4600/full/400,/0/default.jpg",,"Jing head. Wu. Jing. Green painted face; stylized red tufted brow over large black eye; closed red lips. Black helmet and back cloth; multiple circle cut outs, large red pompom at front, red horse hair tuft from top. Natural neck, red pate.",See 360.,
object_1905_0,object_1905,DSCN4600.JPG containing object_1905,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4600/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4600/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4600/full/400,/0/default.jpg",image containing object_1905,,,object_1904
object_1906,,Sheng head,1906,Sheng head,H:,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4601/full/400,/0/default.jpg",,"Sheng head. Wu. Lao sheng. Military. White, blush face; black eye, brow; natural white opera style filigree beard covers mouth. Ying zajin 硬紮巾 style hat with three rows of small red to pink pompoms above green, blue, red, natural cut diadem, ezi 額子. Front emblem, ciguye 慈菇葉 with three small green and two small red pompom decos. Natural neck. 4 red pompoms atop 4 blue vertical sticks, ochre back upward cloth. Hinged, twin ochre long back ribbons at nape.",,
object_1906_0,object_1906,DSCN4601.JPG containing object_1906,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4601/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4601/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4601/full/400,/0/default.jpg",image containing object_1906,,,object_1907
object_1907,,Sheng head,1907,Sheng head,H:,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4601/full/400,/0/default.jpg",,"Sheng head. Wu. Lao sheng. Military. White, blush face; black eye, grey brow; natural white three strand stachios attached to sideburns covers mouth. Ying zajin 硬紮巾 style hat with three rows of small natural white pompoms above natural, yellow, green, red cut diadem, ezi 額子. Front emblem, ciguye 慈菇葉 with five small blue pompom decos. Natural neck. 4 blue pompoms atop 4 yellow vertical sticks, natural white back upward cloth. Hinged, twin ochre long back ribbons at nape.",,
object_1907_0,object_1907,DSCN4601.JPG containing object_1907,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4601/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4601/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4601/full/400,/0/default.jpg",image containing object_1907,,,object_1906
object_1908,,Jing head,1908,Jing head,H:,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4602/full/400,/0/default.jpg",,"Jing head. Wu. Jing. Military. Red pink, white, black painted face; yellow circle on forehead; stylized black eye; full black opera style beard covers mouth. Ying zajin 硬紮巾 style hat with three rows of small pink to red pompoms above natural, ochre, green, red cut diadem, ezi 額子. Front emblem, ciguye 慈菇葉 with three small green and two small red pompom decos. 4 red pompoms atop 4 green vertical sticks, blue back upward cloth. Natural neck.",,
object_1908_0,object_1908,DSCN4602.JPG containing object_1908,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4602/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4602/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4602/full/400,/0/default.jpg",image containing object_1908,,,object_1909;object_1910
object_1909,,Jing head,1909,Jing head,H:,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4602/full/400,/0/default.jpg",,"Jing head. Wu. Jing. Military. Deep red painted face; black moth brow outlined in white; stylized black eye. Full black opera style beard covers mouth. Ying zajin 硬紮巾 style hat with three rows of small blue tone pompoms above natural, ochre, green, red cut diadem, ezi 額子. Front emblem, ciguye 慈菇葉 with three small green and two small red pompom decos. 4 green pompoms atop 4 natural vertical sticks, red back upward cloth. Natural neck.",,
object_1909_0,object_1909,DSCN4602.JPG containing object_1909,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4602/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4602/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4602/full/400,/0/default.jpg",image containing object_1909,,,object_1908;object_1910
