objectno	envelope	oldobjectno	objecttype	description	notes	dimensions	imagenotes	imagename	imagecomments	imageexists	imagetype	imagedesc
1	90	1.1	Dan head	Dan head. Dan 旦. Demon. Green painted face, crescent cut on cheek; red brows, hair, red chignon, 2 meifa 美髮 sticks, natural white profile flower deco at ear with four multi-color extensions; natural white ear ring, black mesh extension at back. Lacquered.	See 2 and others.	h: 3 ¼ x 2 ¼		DSCN3615.JPG|DSCN3616.JPG	1, 2, 3, 4|1, 2, 3, 4	YES|YES		
2	90	1.2	Dan head	Dan head. Dan. Demon. Red painted face, crescent cut on cheek, black brows, hair, black chignon; 2 meifa 美髮 sticks; red profile flower deco at ear with four natural tip extensions; black ear ring; black mesh extension at back. Lacquered.	Note: exact same silhouette as 1.	h: 3 ¼ x 2 ¼		DSCN3615.JPG|DSCN3616.JPG	1, 2, 3, 4|1, 2, 3, 4	YES|YES		
3	90	1.3	Dan head	Dan head. Dan. Demon. Red painted face, black brows, hair fringe at forehead, black chignon, 2 meifa 美髮 sticks, red to orange profile flower deco at ear; four blue to natural tip extensions; blue ear ring, black mesh extends at back. Lacquered.	Note: silhouette slightly diff from 1 and 2, but same as 4.	h: 3 ¼ x 2 ¼		DSCN3615.JPG|DSCN3616.JPG	1, 2, 3, 4|1, 2, 3, 4	YES|YES		
4	90	1.4	Dan head	Dan head. Dan. Demon. Greenish brown painted face, red brows, hair fringe at forehead, red chignon. Green quatrefoil deco at top of head; blue flower deco at ear, black mesh extends forward and back. Lacquered.	Exact same silhouette as 3.	h: 3 ¼ x 2 ½		DSCN3615.JPG|DSCN3616.JPG	1, 2, 3, 4|1, 2, 3, 4	YES|YES		
5	90	1.5	Sheng head	Sheng head. Lao wu sheng 老武生. Open cut face, long white 3 strand beard, ying luomao 硬羅帽 red hexagonal state minister hat with blue, black deco, large red top knob; large blue ear pompom, rongqiu 絨球, black ciguye 慈菇葉 martial arrow at forehead; short red ribbon at nape. Lacquered.		h: 5 x 3 ½		DSCN3617.JPG	5, 6	YES		
6	90	1.6	Sheng head	Sheng head. Wu sheng 武生. Open cut face, red hexagonal state minister hat with black deco and numerous small blue pompoms, red top knob; large red ear pompom, black ciguye 慈菇葉 martial arrow tips decorated with 3 red and 2 blue small pompoms; short red ribbon at nape. Lacquered.				DSCN3617.JPG	5, 6	YES		
7	90	1.7	Sheng head	Sheng head. Wu sheng male or possibly female. Cut away face, ruan luomao 軟羅帽 soft black cloth hat forms hexa swirl at side of head; large red ear pompom; blue ribbon circlet at forehead; small white ear ring; black 慈菇葉 martial arrow. Lacquered.		h: 3 ¼ x 2 ¾		DSCN3618.JPG	7, 8, 9	YES		
8	90	1.8	Chou head	Chou head. Wu chou 武丑. Open cut face, natural white eye patch, Salvador Dali style moustache and soul patch; white teeth; ying luomao 硬羅帽 blue hexagonal minister hat with natural white edge deco, 3 pairs small red pompoms, blue knob at top; black ciguye 慈菇葉 martial arrow with 3 small red and 2 small blue pompom decos; short red ribbon at nape. Lacquered.		h: 3 ¼ x 3 ¼		DSCN3618.JPG	7, 8, 9	YES		
9	90	1.9	Jing head	Jing head. Wu jing 武淨. Demon. Painted face; blue, white; black stylized eye; teeth, red stylized brow, long pointed sideburn style beard and moustache attach at ear; blue ying luomao 硬羅帽 hexagonal, minister hat, white, red deco, blue top knob; yellow repeat decos at top edges; red ear pompom; black ciguye 慈菇葉 martial arrow; red neck ribbon. Kiss band member. Lacquered.		h: 5 ¼ x 3 ¾		DSCN3618.JPG	7, 8, 9	YES		
10	90	1.10	Jing head	Jing head. Wu jing. Demon. Painted face; blue, natural white; black stylized eye; teeth, red stylized brow; Red tufted sideburns into moustache, soul patch; blue ying luomao 硬羅帽 hexagonal minister hat, yellow and peach colored moth decos, many small red pompoms at ends of moth feelers, blue top knob; partial red ear flower; black ciguye 慈菇葉 martial arrow; red neck ribbon. Kiss band member. Lacquered.		H: 3 ½ x 3 ½		DSCN3619.JPG	10, 11, 12	YES		
11	90	1.11	Jing head	Jing head. Jing. Demon. Painted face; black, grey, natural white, red; black stylized eye; teeth; straight 2 strand black beard and stachio; black to grey ear tufts; black ying luomao 硬羅帽 hexagonal minister hat, black knob; black ciguye 慈菇葉 martial arrow with small, white pompom decos; short red neck ribbon. No lacquer.		H: 5 ¼ x 3 ½		DSCN3619.JPG	10, 11, 12	YES		
12	90	1.12	Jing head	Jing head. Wu jing. Demon. Painted face, ornate, turquoise green, white, black stylized eye; teeth; straight red beard, soul patch and stachio; red to pink ear tufts; turquoise green hexagonal minister hat, white, black accents, 32 small red to pink pompom decos, turquoise green top knob; black ciguye 慈菇葉 martial arrow with small red and turquoise green pompom decos; short red neck ribbon. No lacquer.		H: 5 ¼ x 3 ½		DSCN3619.JPG	10, 11, 12	YES		
13	90	1.13	Chou head	Chou head. Wu chou 武丑. Pink painted face; black brow, cut crescents at jawline; black stylized eye; red smiling lips; grey pate; blue cloth back projecting hat, smalltop knob, red fillet ribbon ties at base of neck; black 慈菇葉 martial arrow. Lacquered. See 32.	No clown patch over eyes could mean this is not a chou but a jing.	H: 3 ¼ x 3 ½		DSCN5555.JPG	13, 14, 15	YES		
14	90	1.14	Chou head	Chou head. Chou 丑. Domestic or servant. Natural eye patch covers nose, stylized diamond shape black eye; black lines cross cut away cheek; two strand, sideburns into straight black to grey beard, stachio, soul patch; red lips, teeth. Jia ren jin 家人巾, soft black cloth hat rests forward, black top knob; green fillet; red neck ribbon. No lacquer.	Hat worn in opera, according to Arlington, p. 91, is liubanjin 六瓣巾.	H: 4 x 2 ½		DSCN5555.JPG	13, 14, 15	YES		
15	90	1.15	Jing head	Jing head. Jing. Demon. Painted face turquoise green, red, white; red downward pulled mouth; black stylized eye patch; white close fitting cloth hat, vertical natural white horn-like extensions behind ears; blue fillet, ties at forehead; red ribbon at top of head. Kiss member.	Peeling lacquer.	H: 3 x 3		DSCN5555.JPG	13, 14, 15	YES		
16	90	1.16	Chou head	Chou head. Chou. Demon. Flesh face, grey swoosh accents; large natural white eye patch includes nose, black triangle eye; thick black greasepaint style stachio to ear; black to grey ear tufts; black hexagonal minister hat, black top knob; green fillet; short red neck ribbon. Lacquered.	Similar to 17.	H: 3 ½ x 3 ¼		DSCN5556.JPG	16, 17, 18	YES		
17	90	1.17	Jing head	Jing head. Wu. Jing. Demon. Painted flesh face, mournful expression created by eye and stachio. Black swoosh shape eye; thick black greasepaint stachio to ear; black to grey ear tufts; black hexagonal minister hat, black top knob; green fillet; short red neck ribbon. Lacquered.	Similar to 16.	H: 3 ½ x 3 ¼		DSCN5556.JPG	16, 17, 18	YES		
18	90	1.18	Jing head	Jing head. Wu chou. Demon. White, grey, pink blush painted face, mournful expression created by eye and stachio. Black crescent eye; thick black greasepaint stachio to ear; black to grey ear tufts; yellow hexagonal minister hat, blue clouds on each facet, black, green accents; yellow, black top knob; white diadem, ezi 額子, green central emblem, large red front pompom; black 慈菇葉 martial arrow; red neck ribbon. No lacquer.	Similar to 19.	H: 3 ½ x 3 ¼		DSCN5556.JPG	16, 17, 18	YES		
19	90	1.19	Chou head	Chou head. Wu chou. Demon. Flesh painted face, white natural eye patch covers nose. Black triangle stylized eye; thick black greasepaint stachio to ear; black to grey ear tufts; yellow hexagonal minister hat, blue clouds on each facet, black, green accents; yellow, black top knob; white diadem, ezi 額子, green central emblem, large red front pompom; black 慈菇葉 martial arrow; red neck ribbon. No lacquer.	Same helmet as 18.	H: 3 ½ x 3 ¼		DSCN5557.JPG	19, 20, 21	YES		
20	90	1.20	Jing head	Jing head. Wu jing. Demon. Painted flesh face, blush, large black stylized eyebrow; mournful expression created by eye and stachio. Black swoosh shape eye; thick black greasepaint stachio; black to grey ear tufts; black hexagonal minister hat, natural white, blue accents, black top knob; black 慈菇葉 martial arrow; red neck ribbon. Lacquered.	Similar to 21. Slightly worn.	H: 3 ½ x 3 ¼		DSCN5557.JPG	19, 20, 21	YES		
21	90	1.21	Jing head	Jing head. Wu jing. Demon. Painted flesh face, blush, thin black brow; mournful expression created by eye and stachio. Black swoosh shape eye; thick black greasepaint stachio; black to grey ear tufts; black hexagonal minister hat, white, blue accents, black top knob; black 慈菇葉 martial arrow; red neck ribbon. Lacquered.	Pink color has leaked onto neck from another figure. Almost duplicate of 20.	H: 3 ½ x 3 ¼		DSCN5557.JPG	19, 20, 21	YES		
22	90	1.22	Jing head	Jing head. Wu jing. White painted face, pink blush; long black 3 strand opera style straight stachio and beard connect to ear; yellow hexagonal minister hat, blue clouds, black, green accents; yellow, black top knob; white diadem, ezi 額子, green central emblem, large red front pompom; black 慈菇葉 martial arrow; red neck ribbon. No lacquer.	Same hat as 18, 19.	H: 5 ½ x 4		DSCN5558.JPG	22, 23, 24	YES		
23	90	1.23	Chou head	Chou head. Wu chou. White patch covers nose, blush face, black triangle eye; black outline upper lip; black mark on bridge of nose; pink lips, teeth, tongue; green pate; pink hexagonal minister hat, blue clouds, black, green accents; pink, black top knob; white diadem, ezi 額子, green central emblem, large red front pompom; black ciguye 慈菇葉 martial arrow; red neck ribbon. No lacquer.		H: 3 ¼ x 3		DSCN5558.JPG	22, 23, 24	YES		
24	90	1.24	Jing head	Jing head. Wu jing. Demon. Yellow painted face, black, red, white accents; thick red greasepaint style stachio to ear; red to pink ear tufts also point down below stachio; green pate; turquoise green hexagonal minister hat, white, black accents, many small red to pink pompom decos, turquoise green top knob; black ciguye 慈菇葉 martial arrow, red, turquoise green pompom decos; short red neck ribbon. No lacquer.	Face painting same as 25.	H: 3 ¾ x 3 ½		DSCN5558.JPG	22, 23, 24	YES		
25	90	1.25	Jing head	Jing head. Wu jing. Demon. Yellow painted face, black, red, white accents; blue outlined red mouth pulled down in a grimace; red to pink ear tufts also point down below chin; turquoise green ying luomao 硬羅帽 hexagonal minister hat, white, black accents,many small red to pink pompom decos, turquoise green top knob; black martial arrow with 3 small red, 2 turquoise green pompom decos; short red neck ribbon. No lacquer.	Face painting same as 24 but for moustache.	H: 3 ¾ x 3 ½		DSCN5559.JPG	25, 27	YES		
26	90	1.26	Jing head	Jing head. Wu jing. Red painted face; black, natural white brow; blue ying luomao 硬羅帽 hexagonal minister hat, red, natural white accents, blue top knob; blue ear pompom; black ciguye 慈菇葉 martial arrow; short red neck ribbon. Lacquered.		H: 3 ½ x 3 ¼		DSCN5810.JPG	26	YES		
27	90	1.27	Jing head	Jing head. Wu jing. Demon. Dark grey painted face; black markings, natural white brow; grimace; black to grey ear tufts; black ying luomao 硬羅帽 hexagonal minister hat, blue,natural white repeat accents, black top knob; black ciguye 慈菇葉 martial arrow; short red neck ribbon. Lacquered.		H: 3 ½ x 3 ¼		DSCN5559.JPG	25, 27	YES		
28	90	1.28	Jing head	Jing head. Wu jing. Dark grey painted face; black, pink accents; black, natural white brow; black stylized eye; red grimace; black; black ying luomao 硬羅帽 hexagonal minister hat, white pompom at ear; white hat accents, black top knob; black ciguye 慈菇葉 martial arrow; short red neck ribbon. No lacquer.		H: 3 ½ x 3 ¼		DSCN5560.JPG	28, 29, 30	YES		
29	90	1.29	Chou head	Chou head. Wu chou. Flesh face, white clown patch covers nose; black tufted Dali style stachio and soul patch; triangle eye; dissatisfied expression, red closed lips; red ying luomao 硬羅帽 hexagonal minister hat, black repeat accents, 8 small turquoise green pompoms, red top knob; turquoise green ear pompom; black ciguye 慈菇葉 martial arrow, 2 red, 3 turquoise green small pompoms; short blue neck ribbon..	Peeling lacquer.	H: 3 ¼ x 3		DSCN5560.JPG	28, 29, 30	YES		
30	90	1.30	Chou head	Chou head. Wu chou. Flesh face, white clown patch covers nose; black tufted Dali stachio and soul patch; triangle eye; closed red lips. Blue ying luomao 硬羅帽 hexagonal minister hat, natural white, black repeats, blue top knob; red pompom at ear; black ciguye 慈菇葉 martial arrow with 3 small red and 2 blue pompoms; short red neck ribbon. Lacquered.		H: 3 ½ x 3 ¼		DSCN5560.JPG	28, 29, 30	YES		
31	90	1.31	Chou head	Chou head. Wu chou. Flesh face, white clown patch covers nose; black outlined smiling red mouth; teeth, tongue; triangle eye. Black ying luomao 硬羅帽 hexagonal minister hat, red, natural white cut flower decos, white, black accents, black top knob; red pompom at ear; black ciguye 慈菇葉 martial arrow; short red neck ribbon. Lacquered.		H: 3 ½ x 3 ¼		DSCN5561.JPG	31, 32, 33	YES		
32	90	1.32	Chou head	Chou head. Wu chou. Pink painted face; black brow, cut crescents at jawline; black stylized eye; red smiling lips; grey pate; mustard color cloth back projecting hat, small top knob, natural yellow fillet ribbon with red ties at base of neck; black 慈菇葉 martial arrow. Lacquered.	See 13. No clown patch over eyes could mean this is not a chou but a jing. Neck has pink faded color from another object.	H: 3 ½ x 3 ¼		DSCN5561.JPG	31, 32, 33	YES		
33	90	1.33	Jing head	Jing head. Wu jing. Red painted face, yellow accents on forehead to nose; heavy black brow and eye, white accent; full black opera style beard covers mouth attaches at ear; black ying luomao 硬羅帽 hexagonal minister hat and knob; green fillet; black ciguye 慈菇葉 martial arrow; short red neck ribbon. Light lacquer.		H: 4 ¾ x 4 ½		DSCN5561.JPG	31, 32, 33	YES		
34	90	1.34	Sheng head	Sheng head. Wu sheng. Flesh face, pale pink cheeks; green pate; black ying luomao 硬羅帽 hexagonal hat and top knob; black ciguye 慈菇葉 martial arrow decorated with 2 small red and 3 turquoise green pompoms; short red neck ribbon. No lacquer.	Essentially same as 35.	H: 3 ¼ x 3		DSCN5562.JPG	34, 35	YES		
35	90	1.35	Sheng head	Sheng head. Wu sheng. Flesh face, pale pink cheeks; shaved head; black ying luomao 硬羅帽 hexagonal hat and top knob; black ciguye 慈菇葉 martial arrow decorated with 6 small white pompoms; short red neck ribbon. No lacquer.	See 34.	H: 3 ¼ x 3		DSCN5562.JPG	34, 35	YES		
36	90	1.36	Sheng head	Sheng head. Wu sheng. Flesh face, pale pink cheeks; shaved head, ruan luomao 軟羅帽 soft black cloth hat forms hexa swirl at side of head; black ciguye 慈菇葉 martial arrow; short red neck ribbon. No lacquer.	Identical to 37.	h: 3 ¼ x 2 ¾		DSCN5563.JPG	36, 37, 38	YES		
37	90	1.37	Sheng head	Sheng head. Wu sheng. Flesh face, pale pink cheeks; shaved head, ruan luomao 軟羅帽 soft black cloth hat forms hexa swirl at side of head; black ciguye 慈菇葉 martial arrow; short red neck ribbon. No lacquer.	Identical to 36.	h: 3 ¼ x 2 ¾		DSCN5563.JPG	36, 37, 38	YES		
38	90	1.38	Sheng head	Sheng head. Wu sheng. Flesh face, pale pink cheeks; shaved head; mouth covered by long black three strand opera style beard and stachio attach at ear. Ruan luomao 軟羅帽 soft black cloth hat forms hexa swirl at side of head; black ciguye 慈菇葉 martial arrow; short red neck ribbon. No lacquer.	Note: Slight flaking on arrow. Face id to 36, 37.	h: 4 ½ x 2 ¾		DSCN5563.JPG	36, 37, 38	YES		
39	90	1.39b	Female body	Armor female. Woman warrior, wu dan 武旦. Martial attire, ruan kao 軟靠. Red deco tunic or jacket with close fitting sleeves, buttons front, dark pink turquoise green, blue, green; cut out four petal flowers, elaborate black gold-buttoned cuffs; orange cross chest tie and tassel, same waist front tie (broken in one place), long sash; blue, green cut out fish scale apron over red balloon pants; pleated turquoise green skirt or cloth with black, red deco hangs back below jacket; red lotus shoes, bound feet; block hands. 3 rods. Laquered.	"Compare 118, 119. See Broman p 111 ex 218, 219, nü tichang 女踢氅. Pencil note for object numbers 39 and 40: ""女馬童衣 弍件"". Pencil note exactly corresponds to Chinese Catalog 3a 4上 but not necessarily this object. The 3 x 5 card attached to this item was meant to describe and identify it. As with all the cards, the hole punched in the card fit over a rod handle. Because cards could easily slip off the handles, it seems that many of them eventually did and over time the cards were randomly affliated with objects. Chinese characters were written in black pencil and on some cards additional notes were in red pencil on the reverse of discarded 3x5 library catalog cards."	H 8 ¼; arm extended W 5 1/2; neck rod L 12 ¼; both hand rods L 10.		DSCN3761.JPG	39	YES		
40	90	1.40b	Female body	Armor female. Woman warrior, wu dan 武旦. Martial attire, ruan kao 軟靠. Green tunic or jacket buttons front, with blue, dark pink accents; close fitting sleeves, elaborate black gold-buttoned cuffs, red floral and purple accents; orange cross chest tie and back tassel at shoulder, same waist front tie, long sash; blue, natural white cut out fish scale apron over turquoise green balloon pants; pleated turquoise green skirt or cloth with black, red deco, hangs back below jacket; red shoes, bound feet; block hands. 3 rods. Lacquered.	"See Broman p 111 ex 218, 219, nü tichang 女踢氅. Pencil note for object numbers 39 and 40: ""女馬童衣 貳件"". Pencil note exactly corresponds to Chinese Catalog 3a 4上."	H 8 ¼; arm extended W 5 1/2; neck rod L 12 ¼; both hand rods L 10.		DSCN3763.JPG|P1050008.JPG	40|40, 452	YES|YES		
41	90	1.41b	Female body	Armor female. Woman warrior, wu dan 武旦. Martial attire, ruan kao 軟靠. Black, dark blue above knee tunic, cut out flowered pattern, close fitting sleeves, white cross chest tie with back sash, front extending sash from waist, back waist sash, white with blue lining, red balloon pants, red shoes, bound feet; hands each inscribed fists. 3 rods.	See Broman p 111 ex 218, 219, nü tichang 女踢氅. Similar to 39.			DSCN3762.JPG	41	YES		
42	92	1.42	Jing head	Jing head. Wu jing. Green painted face, red and natural stylized brow; black stylized eye; closed red lips.; green ying luomao 硬羅帽 hexagonal minister hat, natural and yellow moth decos, many small red pompoms at ends of moth feelers, green top knob; partial red ear flower; black ciguye 慈菇葉 martial arrow; red neck ribbon. Kiss band member. Lacquered.	Somewhat worn.	H:		DSCN5564.JPG	42, 43, 44	YES		
43	92	1.43	Jing head	Jing head. Wu jing. Red painted face; black, natural white brow; ying luomao 硬羅帽 green hexagonal minister hat, red, natural white accents, green top knob; natural ear pompom; black ciguye 慈菇葉 martial arrow decorated with 2 small red and 3 green pompoms; short red neck ribbon. No lacquer.		H:		DSCN5564.JPG	42, 43, 44	YES		
44	92	1.44	Sheng head	Sheng head. Wu sheng. Open cut face. Black hexagonal state minister hat with natural white decos and numerous small red pompoms, black top knob; large red ear pompom, black ciguye 慈菇葉 martial arrow tips decorated with 3 red and 2 black small pompoms; short red ribbon at nape. Lacquered.		H:		DSCN5564.JPG	42, 43, 44	YES		
45	92	1.45	Chou head	Chou head. Wu chou. Minister. Flesh face; white clown patch, black edged, red closed lips. High hexagonal black hat sits forward on head; has large black topknot, small red pompom pairs, natural repeat decos, black ciguye 慈菇葉 with 3 small red pompoms; short red ribbon at nape; large red pompom at ear. Lacquered.		H:		DSCN5565.JPG	45, 46, 47	YES		
46	92	1.46	Chou head	Chou head. Wu chou. Minister. Black, open cut face; white clown patch, red lips, teeth. High hexagonal black hat, large black topknot, small red pompom pairs, natural repeat decos, black ciguye 慈菇葉 with 3 small red and 2 black pompoms; short red ribbon at nape. Lacquered.		H:		DSCN5565.JPG	45, 46, 47	YES		
47	92	1.47	Sheng head	Sheng head. Wu sheng. Minister. White flesh face, pink blush; full grey filigree cut opera style beard covers mouth. High yellow ying luomao 硬羅帽 hexagonal hat with blue cloud repeat decos; black decos and topknot, 1 large black pompom above diadem, ezi 額子 in natural, red, green, and near black ciguye 慈菇葉 martial arrow; short red back ribbon. No lacquer.		H:		DSCN5565.JPG	45, 46, 47	YES		
48	92	1.48	Jing head	Jing head. Wu. Jing. Demon. Minister. Green painted face, red, natural, black highlights; downcast red rubber lips. High red edged ying luomao 硬羅帽 hexagonal hat with natural and green repeat decos; green topknot, black ciguye 慈菇葉; natural pompom at ear; short black back ribbon. Kiss band member. Lacquer.		H:		DSCN5566.JPG	48, 49, 50	YES		
49	92	1.49	Sheng head	Sheng head. Wu. Sheng. Minister. Black, open cut face; long black stachios into several strand long beard; red lips. High black ying luomao 硬羅帽 hexagonal hat with red cut flower repeats, natural repeats; large red pompom at ear; black ciguye 慈菇葉; short red back ribbon. Lacquered.		H:		DSCN5566.JPG	48, 49, 50	YES		
50	92	1.50	Jing head	Jing head. Wu. Jing demon. Minister. Grey painted face, black, natural highlights; stylized eye and brow; grinning red lips teeth. Black stachio into wide sideburns forming pointed beard. High black edged ying luomao 硬羅帽 hexagonall hat with natural repeat decos; black topknot, black ciguye 慈菇葉; black pompom at ear; short red back ribbon. Kiss band member. Lacquer.		H:		DSCN5566.JPG	48, 49, 50	YES		
51	92	1.51	Jing head	Jing head. Wu. Jing demon minister. Grey painted face, black, natural highlights; heavy black eye; grinning red lips teeth. Black ear tuft, stachio into wide sideburns forming pointed beard, soul patch. High natural edged, ying luomao 硬羅帽 black hexagonal hat with natural repeat decos; black topknot, black ciguye 慈菇葉; short red back ribbon. Lacquer.		H:		DSCN5567.JPG	51, 52, 53	YES		
52	92	1.52	Jing head	Jing head. Wu. Jing demon minister. Grey painted face, black, natural highlights; heavy black eye. Black ear tuft, wide greasepaint stachio into mutton chops, covers mouth. High darkl edged ying luomao 硬羅帽 black hexagonal hat with natural repeat decos; black topknot, black ciguye 慈菇葉 martial arrow; short red back ribbon. Lacquer.		H:		DSCN5567.JPG	51, 52, 53	YES		
53	92	1.53	Jing head	Jing head. Wu. Jing minister. Red painted face, white accent above eye. Black opera style long stachios cover mouth but not flesh chin; long black beard strands. High black ying luomao 硬羅帽 hexagonal hat and topknot, large black pompom at ear; black ciguye 慈菇葉 martial arrow; short red back ribbon. Light lacquer.		H:		DSCN5567.JPG	51, 52, 53	YES		
54	92	1.54	Sheng head	Sheng head. Wu. Jing minister. Natural with slight blush painted face. Black opera style long stachios cover mouth but not flesh chin; long black beard strands. High black ying luomao 硬羅帽 hexagonal hat and topknot, large red pompom at ear; black ciguye 慈菇葉 martial arrow; short red back ribbon. Light lacquer.		H:		DSCN5568.JPG|DSCN5569.JPG	54, 55, 56|54, 55, 56	YES|YES		
55	92	1.55	Sheng head	Sheng head. Wu sheng or possible wu dan. Open cut face. Ruan luomao 軟羅帽 soft black cloth hat worn at side, black ciguye 慈菇葉 martial arrow; large red pompom at ear; small earring. Lacquer.	Somewhat worn.	H:		DSCN5568.JPG|DSCN5569.JPG	54, 55, 56|54, 55, 56	YES|YES		
56	92	1.56	Jing head	Jing head. Wu jing. Grey painted face, red, black, natural highlights; downcast red rubber lips outlined in black. Ruan luomao 軟羅帽 soft black cloth hat worn at side, black ciguye 慈菇葉 martial arrow; large red pompom at ear. Lacquer.	See 57.	H:		DSCN5568.JPG|DSCN5569.JPG	54, 55, 56|54, 55, 56	YES|YES		
57	92	1.57	Jing head	Jing head. Wu jing. Grey painted face, red, black, natural highlights; downcast red rubber lips. Ruan luomao 軟羅帽 soft black cloth hat worn at side, black ciguye 慈菇葉 martial arrow; large red pompom at ear. Lacquer.	See 56.	H:		DSCN5570.JPG	57, 58, 59	YES		
58	92	1.58	Dan head	Chou dan head. Wu chou dan 武丑旦. Open cut face; natural clown patch; amused eye; smiling red lips, teeth. Ruan luomao 軟羅帽 soft black cloth hat worn at side, black ciguye 慈菇葉 martial arrow; large red pompom at ear; small earring. Lacquer.	Same as 59.	H:		DSCN5570.JPG	57, 58, 59	YES		
59	92	1.59	Dan head	Chou dan head. Wu chou dan. Open cut face; natural clown patch; amused eye; smiling red lips, teeth. Ruan luomao 軟羅帽 soft black cloth hat worn at side, black ciguye 慈菇葉 martial arrow; large red pompom at ear; small earring. Lacquer.	Same as 58.	H:		DSCN5570.JPG	57, 58, 59	YES		
60	92	1.60	Sheng head	Sheng head. Wen lao sheng. Rebel. Flesh face, blush; filigree cut natural white beard covers mouth. Black close fitting cap, rectangular shape, jin 巾, yellow fillet withpartially visible green 'shou' 壽 emblem; long hinged ties down back. Unlacquered.		H:		DSCN5571.JPG	60, 61, 62	YES		
61	92	1.61	Sheng head	Sheng head. Wen sheng. Rebel. Flesh face, blush. Black close fitting cap, rectangular shape, jin 巾, green circlet; long yellow ribbon, front and side fan-shaped ties, extends down back.		H:		DSCN5571.JPG	60, 61, 62	YES		
62	92	1.62	Sheng head	Sheng head. Wen sheng. Rebel. Flesh face, blush. Black three strand opera style stachio and pointed beard covers mouth; green pate. Black close fitting cap, rectangular shape, jin 巾; short red ribbon ties at nape; long peach-color ribbon, extends back. No laquer.		H:		DSCN5571.JPG	60, 61, 62	YES		
63	92	1.63	Jing head	Jing head. Lao wen jing. Rebel. White painted face, black, grey highlights on forehead; full grey opera beard covers mouth; grey achieved by very thin, painted black lines. Black close fitting cap, rectangular shape, jin 巾; green circlet. Short red back ribbon; twin long yellow ribbons extend back. Light lacquer.		H:		DSCN5572.JPG	63, 64, 65	YES		
64	92	1.64	Sheng head	Sheng head. Lao wen sheng. Rebel. Open cut natural face; natural long pointed beard and stachio strands; red lips. Black close fitting cap, rectangular shape, jin 巾, noticeable green ribbon at ear; long yellow ribbon circlet extends back.		H:		DSCN5572.JPG	63, 64, 65	YES		
65	92	1.65	Chou head	Chou head. Wen chou. Rebel. Flesh face, black cut accents, triangle eye; black horizontal stachio, soul patch, short pointed beard; red lips, teeth. Black close fitting cap, rectangular shape, jin 巾, green ribbon at ear; long yellow ribbon circlet extends down back.		H:		DSCN5572.JPG	63, 64, 65	YES		
66	92	1.66	Chou head	Chou head. Wen lao chou. Rebel. Flesh tinted face; clown patch; filigree cut natural white hair and beard juts below chin; soul patch, 'ba' 八 stachios. Black close fitting cap, rectangular shape, jin 巾, yellow fillet with partially visible green edged front emblem; long yellow ties at back.	See 67. In opera, this moustache style is called bi zha 鼻扎.	H:		DSCN5573.JPG	66, 67, 68	YES		
67	92	1.67	Chou head	Chou head. Wen chou. Rebel. Pink flesh tinted face; clown patch; grey hair and beard juts below chin; soul patch, 'ba' 八 stachios. Hair strands are painted in thin black lines, so it looks grey from a distance. Black close fitting cap, rectangular shape, jin 巾, yellow fillet with partially visible green edged front emblem; long yellow ties at back.	See 66.	H:		DSCN5573.JPG	66, 67, 68	YES		
68	92	1.68	Sheng head	Sheng head. Wen sheng. Open cut face; black hair, soul patch, 'ba' 八 stachios. Black close fitting cap, rectangular shape, jin 巾; partially visible green edged front emblem; green fillet and long green ties at back. Lacquered.		H:		DSCN5573.JPG	66, 67, 68	YES		
69	92	1.69	Sheng head	Sheng head. Wen sheng. Open cut face; black hair, soul patch, 'ba' 八 stachios. Black close fitting cap, rectangular shape, jin 巾; black fillet and twin long black ties hinged at nape, swing back. Lacquered.		H:		DSCN5574.JPG	69, 70, 71	YES		
70	92	1.70	Sheng head	Sheng head. Wen sheng. Flesh face, blush. Black three strand opera style stachio and pointed beard covers mouth; green pate. Black close fitting cap, rectangular shape, jin 巾; short red ribbon ties at nape. No laquer.		H:		DSCN5574.JPG	69, 70, 71	YES		
71	92	1.71	Jing head	Jing head. Wen jing. Demon. Blue painted face, red cut stripe outlines profile; black scalloped eye; red downcast lips, blush; black spots like 5 o'clock shadow. Red to pink ear tuft. Black close fitting cap, rectangular shape, jin 巾, green fillet ties at nape; flesh neck. Lacquered.		H:		DSCN5574.JPG	69, 70, 71	YES		
72	92	1.72	Jing head	Jing head. Lao jing. Red painted face, black, natural highlights; natural opera-style strand beard and stachios cover mouth, but not flesh ear and chin. Wind cap 風帽. Red close fitting, pattern edge, green back tie; front pompom-style emblem. Lacquer.		H:		DSCN5575.JPG	72, 73, 74	YES		
73	92	1.73	Sheng head	Sheng head. Sheng. Flesh face, blush; black opera-style strand beard and stachios cover mouth, but not natural ear and chin. Wind cap 風帽. Red close fitting, pattern edge, blue back tie; front pompom-style front emblem.		H:		DSCN5575.JPG	72, 73, 74	YES		
74	92	1.74	Jing head	Jing head. Jing. Red painted face, black, natural highlights; black opera-style strand beard and stachios cover mouth, but not flesh ear and chin. Wind cap 風帽 concealing crown. Red textile, pattern edge beneath; front pompom-style emblem. Lacquer.		H:		DSCN5575.JPG	72, 73, 74	YES		
75	92	1.75	Jing head	Jing head. Lao jing. Red painted face, black, natural highlights; natural opera-style strand beard and stachios cover mouth, but not flesh ear and chin. Red wind cap 風帽 concealing crown; large pompom over front emblem. Lacquer.		H:		DSCN5576.JPG	75, 76, 77	YES		
