objectno	envelope	oldobjectno	objecttype	description	notes	dimensions	imagenotes	imagename	imagecomments	imageexists	imagetype	imagedesc
1366	14 #9 4	3.1396	Sheng head	Sheng head. Sheng. Flesh face; black opera style stachio covers mouth, forms three points with long sideburns; pale green pate; black close fitting cap, faji 髮髻; yellow upright twisted front emblem; yellow circlet with twin long back ribbons, short red back ribbon.	Pin hole at small faji indicates possible hair attached.	H:		P1040410.JPG	1366	YES		
1367	14 #9 4	3.1397	Sheng head	Sheng head. Sheng. Flesh face, blush; black pate; black close fitting cap, faji 髮髻; brown blue circlet, short red back ribbon.	Pin hole at small faji indicates possible hair attached.	H:		P1040411.JPG	1367	YES		
1368	14 #9 4	3.1398	Jing head	Jing head. Jing. Wu. Natural painted face with black ‘swoosh’ cuts and brow; black greasepaint style stachio covers mouth; black faji 髮髻; pale green pate; black close fitting cap; green circlet, ciguye 慈菇葉, short red back ribbon.		H:		P1040412.JPG	1368	YES		
1369	14 #9 4	3.1399	Jing head	Jing head. Jing. Wu. Red painted face; black brow, natural highlight; black pate; black close fitting cap, faji 髮髻; green circlet, ciguye 慈菇葉, short red back ribbon.	Possible pin hole at small faji indicates possible hair attached.	H:		P1040413.JPG	1369	YES		
1370	14 #9 5	3.1400	Creature head	Shen gui head, monkey. Sun Wukong, green fillet with same almost crescent water plant at front, ¾ view six bulb slouch hat, ruan lomao 軟羅帽; red face, round white eye with cross-shaped black eye.	See Broman for same depiction, p. 159 ex 351:6 and color image. See Broman p. 126 for images of ruan lomao, ex 287:1-9.	H:		P1040414.JPG	1370	YES		
1371	14 #9 5	3.1401	Sheng head	Sheng head. Wu. Sheng. Black open cut face; black opera style full beard covers mouth; black pate; black close fitting cap, faji 髮髻, ciguye 慈菇葉; brownish circlet, short red back ribbon.	Pin hole at small faji indicates possible hair attached. Beard length neatly attached with three small plugs, almost invisible.	H:		P1040415.JPG	1371	YES		
1372	14 #9 5	3.1402	Sheng head	Sheng head. Sheng. Flesh face; black opera style stachio covers mouth, forms three points with long sideburns; pale green pate; black close fitting cap; faji 髮髻; long, cut yellow ribbon extends in front of ear; green circlet, short red back ribbon.	Pin hole at small faji indicates possible hair attached.	H:		P1040416.JPG	1372	YES		
1373	14 #9 5	3.1403	Sheng head	Sheng head. Sheng. Wu. Black open cut face; black pate; black close fitting cap, faji 髮髻, ciguye 慈菇葉; blue black circlet, short red back ribbon.	Break at faji, near breaks at ciguye 慈菇葉.	H:		P1040417.JPG	1373	YES		
1374	14 #9 5	3.1404	Jing head	Jing head. Jing. Wu. Natural painted face, stylized black eye; black opera style full beard covers mouth; black pate; black close fitting cap, faji 髮髻, ciguye 慈菇葉; green circlet, short red back ribbon.	Pin hole at small faji indicates possible hair attached. Beard length neatly attached with four small plugs, almost invisible.	H:		P1040418.JPG	1374	YES		
1375	14 #9 5	3.1405	Jing head	Jing head. Jing. Wu. Black, natural deco cut face; stylized black eye; ear tuft; black hair long two point sideburns into stachio, soul patch; lips, teeth, tongue; black close fitting cap, prominent faji 髮髻; blue green circlet with ciguye 慈菇葉, short red back ribbon.		H:		P1040487.JPG	1375	YES		
1376	14 #9 5	3.1406	Jing head	Jing head. Jing. Wu. Natural deco cut face, black, grey highlights; red frowning lips outlined in black; stylized black eye; prominent black faji 髮髻, hair under black close fitting cap; blue circlet with black ciguye 慈菇葉, short red back ribbon.		H:		P1040420.JPG	1376	YES		
1377	14 #9 5	3.1407	Jing head	Jing head. Jing. Wu. Black, red, natural deco cut face; stylized black eye; red hair long pointed sideburns into stachio, soul patch; lips, teeth, tongue; black close fitting cap, red faji 髮髻; green circlet with ciguye 慈菇葉, short back ribbon. Kiss band member. Lacquered.	Faji attached at base with two small red plugs, almost unseen.	H:		P1040488.JPG	1377	YES		
1378	14 #9 5	3.1408	Jing head	Jing head. Jing. Wu. Black, red, bluish deco cut face; stylized black eye; red hair, ear tufts, long pointed sideburns into stachio, soul patch; lips, teeth, tongue; black close fitting cap, red faji 髮髻; green circlet with ciguye 慈菇葉, short back ribbon. Kiss band member. Lacquered.		H:		P1040422.JPG	1378	YES		
1379	14 #9 6	3.1409	Chou head	Chou head. Wu. Chou. Faji 髮髻, green fillet, black ciguye bravery symbol. Blood dripping from red holes where nose and ear have been cut off. Black grease paint stachio, cut, nike swoosh decos on forehead and cheek.		H:		P1040423.JPG	1379	YES		
1380	14 #9 6	3.1410	Jing head	Jing head. Lao jing. Wu. Black and white painted face; full opera style beard obscures mouth; strands of hair on prominent faji 髮髻 and beard carefully painted in stripes; black close fitting cap; blue green circlet, ciguye 慈菇葉, short red back ribbon, natural neck.		H:		P1040424.JPG	1380	YES		
1381	14 #9 6	3.1411	Sheng head	Sheng head. Sheng. Wu. Flesh face; brown opera style stachio covers mouth, forms three points with long sideburns; brown pate; black close fitting cap; faji 髮髻; ciguye 慈菇葉, brown circlet, short red back ribbon.		H:		P1040426.JPG	1381	YES		
1382	14 #9 6	3.1412	Jing head	Jing head. Jing. Wu. Red painted face, stylized black eye, brow; full black opera style beard obscures mouth; black close fitting cap; green circlet, ciguye 慈菇葉, short red back ribbon, natural neck.		H:		P1040489.JPG	1382	YES		
1383	14 #9 6	3.1413	Jing head	Jing head. Jing. Wu. Red painted face, natural accent above stylized black eye, brow; full black opera style beard obscures mouth; black close fitting cap; green circlet, ciguye 慈菇葉, short red back ribbon, natural neck.	beard carefully attached with four almost invisible plugs.	H:		P1040490.JPG	1383	YES		
1384	14 #9 6	3.1414	Jing head	Jing head. Jing. Wu. Natural painted face, stylized black eye, brow; red mark on forehead; full black opera style beard obscures mouth; black close fitting cap; large red pompom atop ornament in natural, green, red with four small green pompoms, green circlet, ciguye 慈菇葉, short red back ribbon, natural neck.		H:		P1040491.JPG	1384	YES		
1385	14 #9 6	3.1415	Sheng head	Sheng head. Sheng. Flesh face; black opera style stachio covers mouth, forms three points with long sideburns; black pate; black close fitting cap; prominent faji 髮髻; long, cut yellow ribbon extends back from same circlet, short red back ribbon.		H:		P1040430.JPG	1385	YES		
1386	14 #9 6	3.1416	Sheng head	Sheng head. Sheng. Flesh face, black; black opera style stachio covers mouth, forms three points with long sideburns; black pate; black close fitting cap; prominent faji 髮髻; cut yellow ribbon extends back from same cut circlet, short red back ribbon.		H:		P1040431.JPG	1386	YES		
1387	14 #9 7	3.1417	Jing head	Jing head. Wu Jing. Faji 髮髻, ciguye 慈菇葉, red painted face with curved cut patterns in yellow and black, unusual, tatoo-like, full black opera style beard.		H:		P1040432.JPG	1387	YES		
1388	14 #9 7	3.1418	Jing head	Jing head. Jing. Wu. Natural painted face, stylized black eye, dot brow; full black opera style beard obscures mouth; black close fitting cap; green circlet, ciguye 慈菇葉, short red back ribbon, natural neck.		H:		P1040492.JPG	1388	YES		
1389	14 #9 7	3.1419	Jing head	Jing head. Jing. Wu. Brown painted face, natural accent above stylized black eye, brow; full black opera style beard obscures mouth; black close fitting cap; green circlet, ciguye 慈菇葉, short red back ribbon, natural neck. Lacquered.	beard carefully attached with four almost invisible plugs.	H:		P1040434.JPG	1389	YES		
1390	14 #9 7	3.1420	Sheng head	Sheng head. Sheng. Black open cut face; long black stachios, forms three points with long sideburns, beard; black pate; black close fitting cap; faji 髮髻; cut yellow ribbons extend back from same cut circlet, knotted yellow ribbon decos on same cut circlet. Lacquered.		H:		P1040435.JPG	1390	YES		
1391	14 #9 7	3.1421	Sheng head	Sheng head. Sheng. Black open cut face; black pate; black close fitting cap, faji 髮髻; green circlet, short red back ribbon, natural neck.	Pin hole at small faji indicates possible hair attached. See 1392.	H:		P1040436.JPG	1391	YES		
1392	14 #9 7	3.1422	Sheng head	Sheng head. Sheng. Black open cut face; black pate; black close fitting cap, faji 髮髻; green circlet, short red back ribbon, natural neck.	Pin hole at small faji indicates possible hair attached. See 1391.	H:		P1040437.JPG	1392	YES		
